Date,Decade,Year,Month,Day,min,max,mean
1963-10-07 00:00:00,1960s,1963,10,7,49.0,85.0,67.0
1963-10-08 00:00:00,1960s,1963,10,8,53.0,80.0,66.5
1963-10-09 00:00:00,1960s,1963,10,9,43.0,67.0,55.0
1963-10-10 00:00:00,1960s,1963,10,10,38.0,68.0,53.0
1964-10-03 00:00:00,1960s,1964,10,3,52.0,73.0,62.5
1964-10-04 00:00:00,1960s,1964,10,4,52.0,65.0,58.5
1964-10-05 00:00:00,1960s,1964,10,5,38.0,61.0,49.5
1964-10-06 00:00:00,1960s,1964,10,6,35.0,62.0,48.5
1964-10-07 00:00:00,1960s,1964,10,7,35.0,60.0,47.5
1964-10-08 00:00:00,1960s,1964,10,8,32.0,61.0,46.5
1964-10-09 00:00:00,1960s,1964,10,9,36.0,67.0,51.5
1964-10-10 00:00:00,1960s,1964,10,10,39.0,57.0,48.0
1965-10-03 00:00:00,1960s,1965,10,3,45.0,75.0,60.0
1965-10-04 00:00:00,1960s,1965,10,4,39.0,60.0,49.5
1965-10-05 00:00:00,1960s,1965,10,5,35.0,56.0,45.5
1965-10-06 00:00:00,1960s,1965,10,6,33.0,64.0,48.5
1965-10-07 00:00:00,1960s,1965,10,7,44.0,65.0,54.5
1965-10-08 00:00:00,1960s,1965,10,8,50.0,73.0,61.5
1965-10-09 00:00:00,1960s,1965,10,9,45.0,70.0,57.5
1965-10-10 00:00:00,1960s,1965,10,10,45.0,64.0,54.5
1966-10-03 00:00:00,1960s,1966,10,3,38.0,67.0,52.5
1966-10-04 00:00:00,1960s,1966,10,4,44.0,78.0,61.0
1966-10-05 00:00:00,1960s,1966,10,5,47.0,68.0,57.5
1966-10-06 00:00:00,1960s,1966,10,6,40.0,60.0,50.0
1966-10-07 00:00:00,1960s,1966,10,7,38.0,67.0,52.5
1966-10-08 00:00:00,1960s,1966,10,8,41.0,73.0,57.0
1966-10-09 00:00:00,1960s,1966,10,9,51.0,78.0,64.5
1966-10-10 00:00:00,1960s,1966,10,10,48.0,77.0,62.5
1967-10-03 00:00:00,1960s,1967,10,3,48.0,83.0,65.5
1967-10-04 00:00:00,1960s,1967,10,4,57.0,87.0,72.0
1967-10-05 00:00:00,1960s,1967,10,5,59.0,89.0,74.0
1967-10-06 00:00:00,1960s,1967,10,6,53.0,73.0,63.0
1967-10-07 00:00:00,1960s,1967,10,7,50.0,60.0,55.0
1967-10-08 00:00:00,1960s,1967,10,8,55.0,65.0,60.0
1967-10-09 00:00:00,1960s,1967,10,9,61.0,76.0,68.5
1967-10-10 00:00:00,1960s,1967,10,10,49.0,65.0,57.0
1968-10-03 00:00:00,1960s,1968,10,3,64.0,84.0,74.0
1968-10-04 00:00:00,1960s,1968,10,4,43.0,64.0,53.5
1968-10-05 00:00:00,1960s,1968,10,5,38.0,65.0,51.5
1968-10-06 00:00:00,1960s,1968,10,6,37.0,67.0,52.0
1968-10-07 00:00:00,1960s,1968,10,7,52.0,69.0,60.5
1968-10-08 00:00:00,1960s,1968,10,8,49.0,67.0,58.0
1968-10-09 00:00:00,1960s,1968,10,9,57.0,65.0,61.0
1968-10-10 00:00:00,1960s,1968,10,10,57.0,64.0,60.5
1969-10-03 00:00:00,1960s,1969,10,3,68.0,83.0,75.5
1969-10-04 00:00:00,1960s,1969,10,4,59.0,78.0,68.5
1969-10-05 00:00:00,1960s,1969,10,5,52.0,69.0,60.5
1969-10-06 00:00:00,1960s,1969,10,6,44.0,72.0,58.0
1969-10-07 00:00:00,1960s,1969,10,7,56.0,79.0,67.5
1969-10-08 00:00:00,1960s,1969,10,8,60.0,71.0,65.5
1969-10-09 00:00:00,1960s,1969,10,9,50.0,73.0,61.5
1969-10-10 00:00:00,1960s,1969,10,10,46.0,73.0,59.5
1970-10-03 00:00:00,1970s,1970,10,3,52.0,87.0,69.5
1970-10-04 00:00:00,1970s,1970,10,4,45.0,67.0,56.0
1970-10-05 00:00:00,1970s,1970,10,5,42.0,74.0,58.0
1970-10-06 00:00:00,1970s,1970,10,6,46.0,81.0,63.5
1970-10-07 00:00:00,1970s,1970,10,7,47.0,83.0,65.0
1970-10-08 00:00:00,1970s,1970,10,8,53.0,79.0,66.0
